//CODE_COUNTRY;CODE_PLOT;CODE_PROFILE;DATE_DESCRIPTION;LATITUDE;LONGITUDE;ELEVATION;CODE_ELEVATION;WRB_GROUP;WRB_QUALIFIER_1;WRB_SPECIFIER_1;WRB_QUALIFIER_2;WRB_SPECIFIER_2;WRB_QUALIFIER_3;WRB_SPECIFIER_3;WRB_QUALIFIER_4;WRB_SPECIFIER_4;WRB_QUALIFIER_5;WRB_SPECIFIER_5;WRB_QUALIFIER_6;WRB_SPECIFIER_6;DIAGNOSTIC_1;DEPTH_DIAGNOSTIC_1;DIAGNOSTIC_2;DEPTH_DIAGNOSTIC_2;DIAGNOSTIC_3;DEPTH_DIAGNOSTIC_3;DIAGNOSTIC_4;DEPTH_DIAGNOSTIC_4;DIAGNOSTIC_5;DEPTH_DIAGNOSTIC_5;DIAGNOSTIC_6;DEPTH_DIAGNOSTIC_6;DIAGNOSTIC_7;DEPTH_DIAGNOSTIC_7;DIAGNOSTIC_8;DEPTH_DIAGNOSTIC_8;DIAGNOSTIC_9;DEPTH_DIAGNOSTIC_9;DIAGNOSTIC_10;DEPTH_DIAGNOSTIC_10;Use;PARENT_MATERIAL_CODE;HGWL;LGWL;TWT;ROOT;ROCK;OBSTACLE;OBSERVATION
15;18;1;30.9.2006;+59.54.00;+23.17.00;10;1;AR;ng;;;;;;;;;;;;pgl;80;prd;80;;;;;;;;;;;;;;;;;53;6200;2;2;2;60;101;101;60 cm to groundwater
15;23;1;30.9.2006;+59.55.00;+23.34.00;30;1;LP;nt;;;;;;;;;;;;ple;0;;;;;;;;;;;;;;;;;;;53;3100;0;0;0;0;0;0;bare bedrock
15;59;1;30.9.2006;+60.03.00;+23.34.00;40;1;LP;ha;;;;;;;;;;;;ple;10;;;;;;;;;;;;;;;;;;;53;6200;0;0;0;10;10;10;10 cm to bedrock
15;65;1;30.9.2006;+60.04.00;+23.51.00;40;1;AR;ha;;;;;;;;;;;;hfo;-12;;;;;;;;;;;;;;;;;;;53;6200;0;0;0;80;101;101;no
15;71;1;30.9.2006;+60.04.00;+24.25.00;40;1;PZ;rs;;le;;;;;;;;;;hsd;5;ple;60;;;;;;;;;;;;;;;;;53;6200;0;0;0;60;60;60;60 cm to bedrock
15;104;1;30.9.2006;+60.11.00;+22.58.00;50;1;LP;hk;;;;;;;;;;;;hfo;-12;;;;;;;;;;;;;;;;;;;53;6110;0;0;0;40;40;40;40 cm to bedrock
15;117;1;30.9.2006;+60.12.00;+24.07.00;50;1;CM;le;;;;;;;;;;;;hcm;10;ple;90;;;;;;;;;;;;;;;;;53;5220;0;0;0;80;90;90;90 cm to bedrock
15;163;1;30.9.2006;+60.19.00;+22.40.00;20;1;CM;ha;;;;;;;;;;;;hcm;10;;;;;;;;;;;;;;;;;;;53;5220;0;0;0;60;101;101;no
15;165;1;30.9.2006;+60.19.00;+22.57.00;40;1;PZ;rs;;le;;;;;;;;;;hsd;7;ple;60;;;;;;;;;;;;;;;;;53;6110;0;0;0;70;60;60;60 cm to bedrock
15;169;1;30.9.2006;+60.20.00;+23.14.00;50;1;PZ;le;;;;;;;;;;;;hsd;5;ple;30;;;;;;;;;;;;;;;;;53;6200;0;0;0;30;30;30;30 cm to bedrock
15;172;1;30.9.2006;+60.20.00;+23.32.00;90;2;PZ;rs;;;;;;;;;;;;hsd;3;;;;;;;;;;;;;;;;;;;53;6200;0;0;0;70;101;101;no
15;176;1;30.9.2006;+60.21.00;+23.49.00;80;2;LP;nt;;;;;;;;;;;;ple;0;;;;;;;;;;;;;;;;;;;53;3100;0;0;0;0;0;0;bare bedrock
15;180;1;30.9.2006;+60.21.00;+24.06.00;50;1;CM;ha;;;;;;;;;;;;hcm;5;;;;;;;;;;;;;;;;;;;53;5220;0;0;0;70;101;101;no
15;187;1;30.9.2006;+60.22.00;+24.24.00;100;2;PZ;rs;;le;;;;;;;;;;hsd;6;ple;60;;;;;;;;;;;;;;;;;53;6200;0;0;0;60;60;60;60 cm to bedrock
15;188;1;30.9.2006;+60.22.00;+24.41.00;50;1;CM;ha;;;;;;;;;;;;hcm;10;;;;;;;;;;;;;;;;;;;53;5220;0;0;0;70;101;101;no
15;198;1;30.9.2006;+60.23.00;+25.16.00;40;1;CM;ha;;;;;;;;;;;;hcm;15;;;;;;;;;;;;;;;;;;;53;6110;0;0;0;70;101;101;no
15;200;1;30.9.2006;+60.22.00;+25.33.00;40;1;PZ;cb;;;;;;;;;;;;hhi;-16;hsd;30;;;;;;;;;;;;;;;;;53;6110;2;2;2;40;101;101;70 cm to groundwater
15;204;1;30.9.2006;+60.23.00;+25.51.00;30;1;RG;ha;;sk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;6200;0;0;0;70;101;101;no
15;211;1;30.9.2006;+60.23.00;+26.26.00;10;1;RG;ha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;6110;0;0;0;50;101;101;no
15;239;1;30.9.2006;+60.26.00;+22.04.00;10;1;RG;ha;;sk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;6200;0;0;0;60;101;60;60 cm to boulder
15;246;1;30.9.2006;+60.27.00;+22.39.00;40;1;LP;ha;;;;;;;;;;;;hfo;-11;ple;10;;;;;;;;;;;;;;;;;53;6110;0;0;0;10;10;10;10 cm to bedrock
15;250;1;30.9.2006;+60.28.00;+22.56.00;80;2;PZ;rs;;le;;;;;;;;;;hsd;7;ple;40;;;;;;;;;;;;;;;;;53;6200;0;0;0;40;40;40;40 cm to bedrock
15;256;1;30.9.2006;+60.29.00;+23.48.00;100;2;PZ;cb;;;;;;;;;;;;hsd;5;;;;;;;;;;;;;;;;;;;53;6200;0;0;0;60;101;101;no
15;260;1;30.9.2006;+60.30.00;+24.06.00;100;2;CM;ha;;;;;;;;;;;;hcm;6;;;;;;;;;;;;;;;;;;;53;5220;0;0;0;60;101;101;no
15;267;1;30.9.2006;+60.31.00;+24.23.00;110;3;RG;ha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;6200;0;0;0;70;101;101;no
15;269;1;30.9.2006;+60.31.00;+24.41.00;120;3;LP;hk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;6110;0;0;0;60;101;101;no
15;272;1;30.9.2006;+60.31.00;+24.58.00;60;2;CM;ha;;;;;;;;;;;;hcm;10;;;;;;;;;;;;;;;;;;;53;6110;0;0;0;60;101;101;no
