//CODE_COUNTRY;CODE_PLOT;CODE_LAYER;REPETITION;LAYER_LIMIT_SUP;LAYER_LIMIT_INF;SUBSAMPLES;DATE_ANALYSIS;MOISTURE_CONTENT;CLAY;SILT;SAND;TEXTURE_CLASS;MEAN_BULK_DENSITY;ESTIMATED_BULK_DENSITY;MASS_COARSE_FRAG;VOLUME_COARSE_FRAG;ORGANIC_LAYER_WEIGHT;pH(CaCl2);pH(H2O);ORGANIC_CARBON;TOTAL_N;CARBONATES;EXCHANGEABLE_ACIDITY;EXCHANGEABLE_AL;EXCHANGEABLE_CA;EXCHANGEABLE_FE;EXCHANGEABLE_K;EXCHANGEABLE_MG;EXCHANGEABLE_MN;EXCHANGEABLE_NA;FREE_H+_ACIDITY;EXTRACTABLE_AL;EXTRACTABLE_CA;EXTRACTABLE_CD;EXTRACTABLE_CR;EXTRACTABLE_CU;EXTRACTABLE_FE;EXTRACTABLE_HG;EXTRACTABLE_K;EXTRACTABLE_MG;EXTRACTABLE_MN;EXTRACTABLE_NA;EXTRACTABLE_NI;EXTRACTABLE_P;EXTRACTABLE_PB;EXTRACTABLE_S;EXTRACTABLE_ZN;REACTIVE_AL;REACTIVE_FE;TOTAL_AL;TOTAL_CA;TOTAL_FE;TOTAL_K;TOTAL_MG;TOTAL_MN;TOTAL_NA;OBSERVATION
15;18;OFH;1;-4;0;20;18.12.2007;8;;;;;;;;;4.53;3.4;4;400;16.2;;11.1;7.56;13.97;0.69;2.22;3.09;0.57;0.27;3.97;5340;3240;0.61;9.5;10.2;12900;;913;636;196;110;7.6;1600;53.6;1460;66.8;;;;;;;;;;no
15;18;M01;1;0;10;5;18.12.2007;3.2;0.7;8.6;90.7;S;;690;;1.8;;4;4.6;52.8;3.4;;3.22;3.17;0.639;0.173;0.079;0.123;0.005;0.053;<0;20000;948;0.27;17.3;6.9;13800;;742;1370;48.5;145;3.8;815;25.2;696;15.1;;;;;;;;;;no
15;18;M12;1;10;20;5;18.12.2007;0.3;0.7;8.6;90.7;S;;1269;;1.6;;4.2;4.8;<0;0.2;;0.54;0.492;0.114;0.013;0.019;0.022;0;0.024;<0;;; ;;;;; ;;;;;;;;;;;;;;;;;;no
15;18;M24;1;20;40;5;18.12.2007;0.3;0.6;6.7;92.7;S;;1271;;3.2;;4.3;4.9;<0; ;;0.51;0.461;0.124;0.016;0.019;0.025;0;0.023;<0;;; ;;;;; ;;;;;;;;;;;;;;;;;;no
15;23;OFH;1;-3;0;20;18.12.2007;6.8;;;;;;;;;5.76;3.5;4.1;399;14.1;;22;9.58;7.49;3.56;1.47;2.1;0.36;0.33;6.38;4150;1710;0.7;14.8;10.9;7770;;854;611;119;107;9.2;870;76.6;1470;60.7;;;;;;;;;;no
15;23;M01;1;0;10;5;18.12.2007;1.2;1.2;14.7;84.1;LS;;576;;68;;4.1;4.7;26.3;1;;3.66;3.448;0.252;0.323;0.072;0.091;0.004;0.055;<0;10200;2510;<0;11.7;8;13800;;925;3190;131;137;4.2;544;14.2;110;41.4;;;;;;;;;;no
15;23;M12;1;10;20;5;18.12.2007;1.2;1.2;14.7;84.1;LS;;770;;64.9;;4.2;4.8;37.8;1.5;;3.05;3.003;0.227;0.152;0.061;0.076;0.007;0.055;<0;;; ;;;;; ;;;;;;;;;;;;;;;;;;no
15;59;OFH;1;-3;0;20;18.12.2007;6.1;;;;;;;;;6.78;3.5;4.1;346;13.2;;7.57;3.37;13.87;0.55;1.43;2.72;0.96;0.21;4.45;3350;3310;0.69;16.3;8.3;3760;;904;640;259;120;10;986;64.7;1360;78.3;;;;;;;;;;no
15;59;M01;1;0;10;5;18.12.2007;2.7;4.9;38.1;57.1;SL;;671;;59.2;;3.7;4.3;68;3.6;;5.82;5.684;0.963;0.324;0.207;0.339;0.02;0.062;0.36;10400;1130;0.12;8;4;12400;;545;1410;90.7;95.7;2.8;859;32.4;614;28.8;;;;;;;;;;no
15;59;M12;1;10;20;5;18.12.2007;2;4.9;38.1;57.1;SL;;846;;60;;4.1;4.7;38.6;1.6;;3.15;3.103;0.454;0.203;0.062;0.118;0.011;0.036;<0;;; ;;;;; ;;;;;;;;;;;;;;;;;;no
15;65;OFH;1;-9;0;10;18.12.2007;6;;;;;;;;;14.6;3.1;3.8;315;10.8;;11.1;4.17;11.73;0.54;1.31;1.8;0.3;0.34;7.32;2240;2860;0.51;21.1;6.6;2230;;817;377;107;111;12.9;532;47.1;1270;39.2;;;;;;;;;;no
